Sun May 10 19:59:03 +0000 2015,Final del primer cuarto #Bulls vs #Cavs 28-26.
Rose 9 PTS y 1 REB 
Butler 9 PtS
James 7 PtS, 4 REB y 3 AST (4 TO)
Sun May 10 19:59:02 +0000 2015,Final 1Q #Bulls 28 #Cavs 26. CHI: Rose 9pts, Butler 9pts, Hinrich 4pts. CLE: James 9pts Mozgov 4pts, Thompson 4pts
Sun May 10 19:59:02 +0000 2015,Final 1Q #Bulls 28 #Cavs 26. CHI: Rose 9pts, Butler 9pts, Hinrich 4pts. CLE: James 9pts Mozgov 4pts, Thompson 4pts
Sun May 10 19:59:00 +0000 2015,RT @NBAMemes: These 2015 NBA Semifinals' Top Teams in Review.

#Cavs #Warriors #Rockets #Hawks http://t.co/cmNRfCafQV
Sun May 10 19:58:59 +0000 2015,Maçın adına yakışır ilk çeyrek... Düelloya döndü resmen.🏀
#NBAPlayoffs #Bulls #Cavs #BULLSvsCAVS #sportstvlive
Sun May 10 19:58:58 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:58 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:57 +0000 2015,let's go #Cavs
Sun May 10 19:58:57 +0000 2015,RT @s_colton: Come on #Cavs! Let's get some high percentage shots! #TheLand #CavsNation #CavsMania
Sun May 10 19:58:55 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:54 +0000 2015,RT @SI_216: Gooooooooo #Cavs
Sun May 10 19:58:51 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:50 +0000 2015,@CavsJMike #Cavs  West had better not try that in CLE
Sun May 10 19:58:50 +0000 2015,Horrible first quarter but we are only down two. C'mon #Cavs
Sun May 10 19:58:50 +0000 2015,RT @johnsboob: @basketusa fidèle au poste. tribune est pour changer ! #Bulls #Cavs #Playoffs #lovethisgame http://t.co/TiE06Ts6ke
Sun May 10 19:58:49 +0000 2015,28-26 #Bulls lead #Cavs after 1 CLE 53% 6ast 11FG +3reb LBJ 9 Kyrie 2 CHI 53%  Rose/Butler 9
Sun May 10 19:58:48 +0000 2015,Points off turnovers:
#Bulls - 8 points
